"ОКУД
формы","ЦСОД/
СТАТЭК","Полное ведение (ПВ) /
Курирование",Краткое наименование,Отчетный период - за,"Дата получения каталога со статусом ""Итоговый"" в АС ГС ОФСН","Дата перевода каталога в ""Архивный"" статус","код отчётного
периода","ОКУД+Код
(формула)","Отчетная дата
(по бланку)","Период загрузки
отчетов (от)","Период загрузки
отчетов (до)","Рассылка 1
(дата)","Рассылка 2
(от)","Рассылка 2
(до)","Специалист отраслевого отдела
№ телефона, кабинет","Администратор БД от ОИРиТ
№ телефона, кабинет",Примечание
0615069,С,К,1-ИП (автогруз),2 квартал 2025,не позднее 04.04.2025,,04022025,061506904022025,30.06.2025,05.05.2025,15.07.2025,-,-,-,"Девятирякова Ольга Леонидовна, т. 2-47, 371-03-28 (доб. 804), к. 439","Рублёва Наталья Адольфовна, т. 322, к. 307",нет рассылки
0615069,С,К,1-ИП (автогруз),3 квартал 2025,не позднее 04.07.2025,,04032025,061506904032025,30.09.2025,04.08.2025,15.10.2025,-,-,-,"Девятирякова Ольга Леонидовна, т. 2-47, 371-03-28 (доб. 804), к. 439","Рублёва Наталья Адольфовна, т. 322, к. 307",нет рассылки
0615069,С,К,1-ИП (автогруз),4 квартал 2025,не позднее 03.10.2025,,04042025,061506904042025,31.12.2025,03.11.2025,16.01.2026,-,-,-,"Девятирякова Ольга Леонидовна, т. 2-47, 371-03-28 (доб. 804), к. 439","Рублёва Наталья Адольфовна, т. 322, к. 307",нет рассылки
0615071,Ц,К,1-ТР (автотранспорт),2024,"
не позднее  28.12.2024",с 10 по 25 января,01012024,061507101012024,25.01.2025,10.01.2025,07.04.2025,10.01.2025,22.01.2025,24.01.2025,"Краева Ольга Федоровна, т. 2-47, IP 801, к. 439",,
0615103,Ц,К,10-ГА (срочная),январь 2025,"
не позднее 29.01.2025",,12012025,061510312012025,03.02.2025,01.02.2025,13.02.2025,1/31/2025,1/31/2025,1/31/2025,"Медведева Елена Федоровна, т. 2-47, 803, к. 439","Трушаева Наталья Ивановна, т. 320, к. 307",
0615103,Ц,К,10-ГА (срочная),февраль 2025,не позднее 27.02.2025,,12022025,061510312022025,03.03.2025,01.03.2025,13.03.2025,28.02.2025,28.02.2025,28.02.2025,"Медведева Елена Федоровна, т. 2-47, 803, к. 439","Трушаева Наталья Ивановна, т. 320, к. 307",
0615103,Ц,К,10-ГА (срочная),март 2025,не позднее 28.03.2025,,12032025,061510312032025,03.04.2025,01.04.2025,13.04.2025,4/1/2025,31.03.2025,02.04.2025,"Медведева Елена Федоровна, т. 2-47, 803, к. 439","Трушаева Наталья Ивановна, т. 320, к. 307",
0615103,Ц,К,10-ГА (срочная),апрель 2025,"
не позднее 28.04.2025",,12042025,061510312042025,05.05.2025,01.05.2025,19.05.2025,4/30/2025,4/30/2025,4/30/2025,"Медведева Елена Федоровна, т. 2-47, 803, к. 439","Трушаева Наталья Ивановна, т. 320, к. 307",
0615103,Ц,К,10-ГА (срочная),май 2025,"
не позднее 27.05.2025",,12052025,061510312052025,03.06.2025,01.06.2025,16.06.2025,6/2/2025,6/2/2025,6/2/2025,"Медведева Елена Федоровна, т. 2-47, 803, к. 439","Трушаева Наталья Ивановна, т. 320, к. 307",
0615103,Ц,К,10-ГА (срочная),июнь 2025,"
не позднее 27.06.2025",,12062025,061510312062025,03.07.2025,01.07.2025,13.07.2025,01.07.2025,30.06.2025,02.07.2025,"Медведева Елена Федоровна, т. 2-47, 803, к. 439","Трушаева Наталья Ивановна, т. 320, к. 307",
0615103,Ц,К,10-ГА (срочная),июль 2025,"
не позднее 29.07.2025",,12072025,061510312072025,04.08.2025,01.08.2025,13.08.2025,01.08.2025,30.07.2025,01.08.2025,"Медведева Елена Федоровна, т. 2-47, 803, к. 439","Трушаева Наталья Ивановна, т. 320, к. 307",
0615103,Ц,К,10-ГА (срочная),август 2025,не позднее 29.08.2025,,12082025,061510312082025,03.09.2025,01.09.2025,11.09.2025,01.09.2025,27.08.2025,29.08.2025,"Медведева Елена Федоровна, т. 2-47, 803, к. 439","Трушаева Наталья Ивановна, т. 320, к. 307",
0615103,Ц,К,10-ГА (срочная),сентябрь 2025,"
не позднее 30.09.2025",,12092025,061510312092025,03.10.2025,01.10.2025,13.10.2025,01.10.2025,30.09.2025,02.10.2025,"Медведева Елена Федоровна, т. 2-47, 803, к. 439","Трушаева Наталья Ивановна, т. 320, к. 307",
0615103,Ц,К,10-ГА (срочная),октябрь 2025,"
не позднее 28.10.2025",,12102025,061510312102025,05.11.2025,01.11.2025,16.11.2025,01.11.2025,30.10.2025,01.11.2025,"Медведева Елена Федоровна, т. 2-47, 803, к. 439","Трушаева Наталья Ивановна, т. 320, к. 307",
0615103,Ц,К,10-ГА (срочная),ноябрь 2025,не позднее 28.11.2025,,12112025,061510312112025,03.12.2025,01.12.2025,11.12.2025,01.12.2025,26.11.2025,28.11.2025,"Медведева Елена Федоровна, т. 2-47, 803, к. 439","Трушаева Наталья Ивановна, т. 320, к. 307",
0615139,Ц,К,65-ЭТР (кв),1 квартал 2025,не позднее 28.03.2025,,04012025,061513904012025,4/25/2025,01.04.2025,14.04.2025,01.04.2025,-,-,"Девятирякова Ольга Леонидовна, т. 2-47, 371-03-28 (доб. 804), к. 439",,1 рассылка
0615139,Ц,К,65-ЭТР (кв),2 квартал 2025,не позднее 27.06.2025,,04022025,061513904022025,7/14/2025,01.07.2025,14.07.2025,01.07.2025,,,"Девятирякова Ольга Леонидовна, т. 2-47, 371-03-28 (доб. 804), к. 439",,1 рассылка
0615139,Ц,К,65-ЭТР (кв),3 квартал 2025,не позднее 30.09.2025,,04032025,061513904032025,10/14/2025,01.10.2025,14.10.2025,01.10.2025,,,"Девятирякова Ольга Леонидовна, т. 2-47, 371-03-28 (доб. 804), к. 439",,1 рассылка
0615139,Ц,К,65-ЭТР (кв),4 квартал 2025,не позднее 30.12.2025,,04042025,061513904042025,1/22/2026,09.01.2026,26.01.2026,09.01.2026,,,"Девятирякова Ольга Леонидовна, т. 2-47, 371-03-28 (доб. 804), к. 439",,1 рассылка
0616001,Ц,К,1-цены приобретения,2024,#N/A,#N/A,01012024,061600101012024,03.03.2025,03.02.2025,26.03.2025,03.02.2025,26.02.2025,28.02.2025,"Тимофеева Татьяна Михайловна, т. 704, к. 508",,
0616004,Ц,К,9-КС,январь 2025,27.12.2024,,12012025,061600412012025,27.01.2025,15.01.2025,31.01.2025,15.01.2025,22.01.2025,24.01.2025,"Тимофеева Татьяна Михайловна, т. 704, к. 508",,
0616004,Ц,К,9-КС,февраль 2025,,,12022025,061600412022025,25.02.2025,14.02.2025,28.02.2025,14.02.2025,19.02.2025,21.02.2025,"Тимофеева Татьяна Михайловна, т. 704, к. 508",,выборочная форма
0616004,Ц,К,9-КС,март 2025,,,12032025,061600412032025,25.03.2025,14.03.2025,31.03.2025,14.03.2025,19.03.2025,21.03.2025,"Тимофеева Татьяна Михайловна, т. 704, к. 508",,выборочная форма
0616004,Ц,К,9-КС,апрель 2025,,,12042025,061600412042025,25.04.2025,15.04.2025,30.04.2025,15.04.2025,22.04.2025,24.04.2025,"Тимофеева Татьяна Михайловна, т. 704, к. 508",,выборочная форма
0616004,Ц,К,9-КС,май 2025,,,12052025,061600412052025,26.05.2025,15.05.2025,30.05.2025,15.05.2025,21.05.2025,23.05.2025,"Тимофеева Татьяна Михайловна, т. 704, к. 508",,выборочная форма
0616004,Ц,К,9-КС,июнь 2025,,,12062025,061600412062025,25.06.2025,16.06.2025,30.06.2025,16.06.2025,18.06.2025,20.06.2025,"Тимофеева Татьяна Михайловна, т. 704, к. 508",,выборочная форма
0616004,Ц,К,9-КС,июль 2025,,,12072025,061600412072025,25.07.2025,15.07.2025,31.07.2025,15.07.2025,22.07.2025,24.07.2025,"Тимофеева Татьяна Михайловна, т. 704, к. 508",,выборочная форма
0616004,Ц,К,9-КС,август 2025,,,12082025,061600412082025,25.08.2025,15.08.2025,29.08.2025,15.08.2025,20.08.2025,22.08.2025,"Тимофеева Татьяна Михайловна, т. 704, к. 508",,выборочная форма
0616004,Ц,К,9-КС,сентябрь 2025,,,12092025,061600412092025,25.09.2025,15.09.2025,30.09.2025,15.09.2025,22.09.2025,24.09.2025,"Тимофеева Татьяна Михайловна, т. 704, к. 508",,выборочная форма
0616004,Ц,К,9-КС,октябрь 2025,,,12102025,061600412102025,27.10.2025,15.10.2025,31.10.2024,15.10.2025,22.10.2025,24.10.2025,"Тимофеева Татьяна Михайловна, т. 704, к. 508",,выборочная форма
0616004,Ц,К,9-КС,ноябрь 2025,,,12112025,061600412112025,25.11.2025,14.11.2025,28.11.2025,14.11.2025,19.11.2025,21.11.2025,"Тимофеева Татьяна Михайловна, т. 704, к. 508",,выборочная форма
0616004,Ц,К,9-КС,декабрь 2025,,,12122025,061600412122025,25.12.2025,15.12.2025,30.12.2025,15.12.2025,22.12.2025,24.12.2025,"Тимофеева Татьяна Михайловна, т. 704, к. 508",,выборочная форма
0616005,Ц,К,1-РЦ,2024,,,01012024,061600501012024,31.03.2025,12.02.2025,10.04.2025,2/13/2025,26.03.2025,28.03.2025,"Фаткулова Альфия Ахметовна,
Жолобова Ирина Сергеевна, т. 705, 724, к. 507","Горячева Светлана Сергеевна, т. 303, к. 307",
0616006,Ц,К,2-РЦ,2024,#N/A,#N/A,01012024,061600601012024,31.03.2025,12.02.2025,10.04.2025,2/13/2025,26.03.2025,28.03.2025,"Смоленцева Евгения Константиновна, т. 702, к. 505","Горячева Светлана Сергеевна, т. 303, к. 307",
0616007,Ц,К,1-цены производителей,январь 2025,23.12.2024 - 27.12.2024,,12012025,061600712012025,27.01.2025,10.01.2025,30.01.2025,10.01.2025,22.01.2025,24.01.2025,"Фаткулова Альфия Ахметовна,
Жолобова Ирина Сергеевна, т. 705, 724, к. 507",,выборочная форма
0616007,Ц,К,1-цены производителей,февраль 2025,#N/A,#N/A,12022025,061600712022025,26.02.2025,12.02.2025,27.02.2025,12.02.2025,24.02.2025,25.02.2025,"Фаткулова Альфия Ахметовна,
Жолобова Ирина Сергеевна, т. 705, 724, к. 507",,выборочная форма
0616007,Ц,К,1-цены производителей,март 2025,#N/A,#N/A,12032025,061600712032025,26.03.2025,12.03.2025,28.03.2025,12.03.2025,24.03.2025,25.03.2025,"Фаткулова Альфия Ахметовна,
Жолобова Ирина Сергеевна, т. 705, 724, к. 507",,выборочная форма
0616007,Ц,К,1-цены производителей,апрель 2025,#N/A,#N/A,12042025,061600712042025,28.04.2025,11.04.2025,29.04.2025,11.04.2025,23.04.2025,25.04.2025,"Фаткулова Альфия Ахметовна,
Жолобова Ирина Сергеевна, т. 705, 724, к. 507",,выборочная форма
0616007,Ц,К,1-цены производителей,май 2025,#N/A,#N/A,12052025,061600712052025,26.05.2025,12.05.2025,29.05.2025,12.05.2025,21.05.2025,23.05.2025,"Фаткулова Альфия Ахметовна,
Жолобова Ирина Сергеевна, т. 705, 724, к. 507",,выборочная форма
0616007,Ц,К,1-цены производителей,июнь 2025,#N/A,#N/A,12062025,061600712062025,26.06.2025,11.06.2025,27.06.2025,11.06.2025,23.06.2025,25.06.2025,"Фаткулова Альфия Ахметовна,
Жолобова Ирина Сергеевна, т. 705, 724, к. 507",,выборочная форма
0616007,Ц,К,1-цены производителей,июль 2025,#N/A,#N/A,12072025,061600712072025,28.07.2025,11.07.2025,30.07.2025,11.07.2025,23.07.2025,25.07.2025,"Фаткулова Альфия Ахметовна,
Жолобова Ирина Сергеевна, т. 705, 724, к. 507",,выборочная форма
0616007,Ц,К,1-цены производителей,август 2025,#N/A,#N/A,12082025,061600712082025,26.08.2025,12.08.2025,28.08.2025,12.08.2025,20.08.2025,22.08.2025,"Фаткулова Альфия Ахметовна,
Жолобова Ирина Сергеевна, т. 705, 724, к. 507",,выборочная форма
